3.161667, 951,
3.170000, 950,
3.182500, 948,
3.186667, 946,
3.190833, 946,
3.195000, 945,
3.199167, 941,
3.203333, 939,
3.207500, 937,
3.211667, 937,
3.215833, 934,
3.220000, 932,
3.224167, 929,
3.228333, 925,
3.232500, 923,
3.236667, 919,
3.245000, 913,
3.249167, 910,
3.253333, 905,
3.257500, 902,
3.261667, 898,
3.265833, 894,
3.270000, 890,
3.274167, 886,
3.278333, 882,
3.282500, 878,
3.286667, 874,
3.290833, 871,
3.295000, 866,
3.299167, 863,
3.303333, 859,
3.307500, 854,
3.311667, 852,
3.315833, 848,
3.320000, 846,
3.324167, 842,
3.328333, 838,
3.332500, 835,
3.336667, 830,
3.340833, 821,
3.345000, 819,
3.349167, 818,
3.353333, 814,
3.357500, 811,
3.361667, 806,
3.365417, 801,
3.369583, 798,
3.373750, 794,
3.377917, 790,
3.382083, 786,
3.386250, 780,
3.382083, 787,
3.386250, 781,
3.390417, 778,
3.394583, 773,
3.398750, 769,
3.402917, 765,
3.407083, 762,
3.411250, 758,
3.415417, 754,
3.419583, 749,
3.423750, 747,
3.427917, 745,
3.432083, 740,
3.436250, 737,
3.440417, 736,
3.444583, 733,
3.448750, 734,
3.452917, 733,
